"Site_ID","Y_Northing_UTM","X_Easting_UTM","Elevation_m","Year"
"CID011 BASE",4610502.889,454225.407,1819.596,"2022"
"CID011 1.1 INLET",4610475.595,454225.804,1818.835,"2022"
"CID011 1.2 INLET",4610476.941,454226.09,1819.093,"2022"
"CID011 1.1 OUTLT",4610477.557,454216.403,1818.255,"2022"
"CID011 1.2 OUTLT",4610479.654,454216.913,1818.307,"2022"
"HWR BASE",4605753.518,452795.414,1675.202,"2022"
"HWR 1.1 INLET",4605756.144,452783.916,1675.775,"2022"
"HWR 1.1 OUTLET",4605749.347,452778.638,1678.721,"2022"
"HWR 1.1 INTEST",4605757.439,452783.08,1673.775,"2022"
"HWR 1.1 OUTTST",4605751.076,452778.029,1673.721,"2022"
"CID270 BASE",4630691.029,452186.655,1795.056,"2022"
"CID051 BASE",4631230.954,451786.711,1775.941,"2022"
"CID016 BASE",4650418,456817.262,2323.215,"2022"
"CID018 BASE",4648033.648,456644.303,2181.602,"2022"
"UID87425 IN",4648032.08,456631.583,2180.807,"2022"
"UID87425 OT",4648024.754,456632.715,2180.556,"2022"
"CID327 BASE",4630390.899,458350.917,2441.686,"2022"
"UID3813 IN",4630398.151,458356.768,2439.868,"2022"
"UID3813 OT",4630396.462,458363.588,2425.832,"2022"
"CID306 BASE",4627983.714,461036.611,2222.504,"2022"
"UID35871 IN",4627991.085,461033.691,2220.86,"2022"
"UID35871 OT",4627989.813,461047.667,2220.3,"2022"
"CID315 BASE",4645336.214,455360.237,2086.165,"2022"
"CID315 TEST",4645336.138,455360.422,2087.821,"2022"
"UID398 IN",4645344.221,455400.116,2087.997,"2022"
"UID398 OT",4645355.858,455390.931,2087.501,"2022"
"CID270 BASE2",4630686.949,452186.02,1794.723,"2022"
"UID35535 IN",4630685.64,452194.086,1793.15,"2022"
"UID35535 OT",4630693.124,452200.698,1793.02,"2022"
"CID008 BASE",4623823.087,444097.757,1545.508,"2022"
"UID25699.1 IN",4623816.538,444086.162,1542.084,"2022"
"UID25699.2 IN",4623817.824,444092.177,1542.249,"2022"
"UID25699.1 OT",4623842.39,444051.364,1541.766,"2022"
"UID25699.2 OT",4623843.336,444055.191,1541.634,"2022"
"CID300 BASE",4615949.048,433983.365,1536.041,"2022"
"ID94738 IN",4615934.642,433980.583,1533.811,"2022"
"CID300 BASE2",4615946.866,433982.402,1535.94,"2022"
"UID68601 BASE",4512126.272,509999.76,2901.989,"2022"
"UID68601 IN",4512073.75,510025.106,2899.102,"2022"
"UID68601 OT",4512095.622,510046.706,2895.897,"2022"
"ID60332 BASE",4515172.924,509620.286,2769.498,"2022"
"UID60332.1 IN",4515170.826,509605.835,2768.593,"2022"
"UID60332.2 IN",4515169.377,509605.534,2768.595,"2022"
"UID60332.1 OT",4515169.315,509626.22,2766.594,"2022"
"UID60332.2 OT",4515168.119,509626.027,2766.296,"2022"
"37638",4518373.429,510832.443,2746.962,"2022"
"UID37638 OT",4518364.938,510831.534,2746.079,"2022"
"UID37638 IN",4518370.373,510818.364,2746.557,"2022"
"UID78721 BASE",4520874.563,512815.283,2666.724,"2022"
"UID78721 IN",4520874.894,512797.842,2665.217,"2022"
"UID78721 OT",4520869.075,512819.348,2663.731,"2022"
"UID85617 BASE",4522555.145,510768.542,2775.862,"2022"
"UID85617 IN",4522550.956,510776.265,2772.416,"2022"
"UID85617 OT",4522565.665,510777.7,2772.547,"2022"
"UID72078 BASE",4522314.125,509928.653,2792.34,"2022"
"UID72078 IN",4522319.635,509926.158,2792.348,"2022"
"UID7207 OT",4522328.561,509928.73,2792.136,"2022"
"UID80963 BASE",4523547.243,506186.072,2711.895,"2022"
"UID80963 IN",4523550.793,506181.455,2710.607,"2022"
"UID80963 OT",4523551.301,506196.353,2710.253,"2022"
"UID78183 BASE",4522599.269,510077.265,2791.784,"2022"
"UID78183 IN",4522596.195,510088.907,2791.251,"2022"
"UID78183 OT",4522608,510095.225,2791.081,"2022"
"UID22467 BASE",4529476.142,519385.135,2665.594,"2022"
"UID22467 IN",4529471.656,519384.403,2663.821,"2022"
"UID22467 OT",4529489.969,519384.565,2663.673,"2022"
"UID48473 BASE",4530434.459,520300.71,2649.516,"2022"
"UID48473 IN",4530436.824,520314.776,2643.037,"2022"
"UID48473 OT",4530466.118,520290.78,2640.287,"2022"
"UID97494 BASE",4531154.277,521315.388,2645.407,"2022"
"UID97494 IN",4531149.595,521311.495,2644.357,"2022"
"UID97494 OT",4531171.635,521314.336,2642.74,"2022"
"UID15082",4531210.368,522495.094,2694.134,"2022"
"UID15082 IN",4531207.973,522503.628,2691.242,"2022"
"UID15082 OT",4531213.482,522473.436,2689.322,"2022"
"UID94587 BASE",4531427.472,525668.354,2882.497,"2022"
"UID94587 IN",4531414.563,525659.386,2880.803,"2022"
"UID94587 OT",4531436.564,525665.613,2879.3,"2022"
"UID69971 BASE",4527831.032,521832.025,2802.886,"2022"
"UID69971 IN",4527820.682,521836.742,2801.631,"2022"
"UID69971 OT",4527833.27,521835.86,2801.181,"2022"
"UID63619 BASE",4526782.463,522088.488,2867.531,"2022"
"UID63619 IN",4526780.761,522089.502,2866.156,"2022"
"UID63619 OT",4526782.205,522079.9,2865.851,"2022"
"UID38660 BASE",4544774.626,521536.465,2417.301,"2022"
"UID38660 IN",4544795.055,521579.633,2417.236,"2022"
"UID38660 OT",4544805.321,521572.682,2416.651,"2022"
"UID46329 IN",4544765.539,521515.583,2414.792,"2022"
"UID30774",4547043.518,519648.711,2322.693,"2022"
"UID30774 IN",4547026.029,519660.86,2321.741,"2022"
"UID30774 OT",4547036.841,519671.889,2321.511,"2022"
"UID30110 BASE",4549585.289,515150.349,2231.568,"2022"
"UID30110 OT",4549591.461,515161.502,2229.198,"2022"
"UID30110 IN",4549570.281,515161.022,2229.285,"2022"
"ID16908 BASE",4547869.122,499557.286,2150.586,"2022"
"UID16908 IN",4547858.282,499563.041,2147.343,"2022"
"UID16908 OT",4547876.46,499571.249,2147.281,"2022"
"UID45607 BASE",4562412.325,498800.283,2048.808,"2022"
"UID45607 IN",4562407.452,498772.907,2044.916,"2022"
"UID45607 OT",4562429.759,498773.59,2045.382,"2022"
"UID2140 BASE",4566872.681,499401.864,2028.601,"2022"
"UID2140 IN",4566872.607,499427.074,2024.9,"2022"
"UID2140 OT",4566890.24,499399.629,2024.888,"2022"
"UID40371 BASE",4584453.173,481330.984,1959.422,"2022"
"UID40371 IN",4584431.74,481317.53,1958.127,"2022"
"UID40371 OT",4584430.876,481324.773,1958.211,"2022"
"UID19084 IN",4586999.808,486539.718,1908.383,"2022"
"UID19084 BASE",4586985.562,486562.771,1909.884,"2022"
"UID19084 OT",4587004.99,486544.401,1908.406,"2022"
"UID26405 BASE",4597421.283,488309.327,1900.506,"2022"
"UID26405 IN",4597416.406,488306.728,1898.66,"2022"
"UID26405 OT",4597417.595,488318.903,1898.843,"2022"
"UID2253 BASE",4594734.626,475015.196,2037.158,"2022"
"UID2253 IN",4594749.201,475011.086,2035.497,"2022"
"UID2253 OT",4594735.76,475026.155,2035.031,"2022"
"UID40752 BASE",4594553.237,474464.797,2048.116,"2022"
"UID40752 IN",4594552.757,474440.119,2046.2,"2022"
"UID40752 OT",4594572.455,474447.289,2046.01,"2022"
"UID55938 IN",4592646.969,466009.514,2308.454,"2022"
