OID_,Site_ID,Y_Northing_UTM,X_Easting_UTM,Elevation_m,Year,Latitude_dd,Longitude_dd
1,CID011 BASE,4610502.889000000432134,454225.407000000006519,1819.596000000000004,2022,41.644959100000001,-111.549681480000004
2,CID011 1.1 INLET,4610475.594999999739230,454225.804000000003725,1818.835000000000036,2022,41.644713289999999,-111.549674629999998
3,CID011 1.2 INLET,4610476.940999999642372,454226.090000000025611,1819.093000000000075,2022,41.644725430000001,-111.549671290000006
4,CID011 1.1 OUTLT,4610477.557000000029802,454216.402999999991152,1818.255000000000109,2022,41.644730430000003,-111.549787660000007
5,CID011 1.2 OUTLT,4610479.654000000096858,454216.913000000000466,1818.307000000000016,2022,41.644749339999997,-111.549781699999997
6,HWR BASE,4605753.518000000156462,452795.413999999989755,1675.201999999999998,2022,41.602098980000001,-111.566477780000000
7,HWR 1.1 INLET,4605756.144000000320375,452783.916000000026543,1675.775000000000091,2022,41.602121949999997,-111.566615959999993
8,HWR 1.1 OUTLET,4605749.347000000067055,452778.637999999977183,1678.721000000000004,2022,41.602060420000001,-111.566678760000002
9,HWR 1.1 INTEST,4605757.439000000245869,452783.080000000016298,1673.775000000000091,2022,41.602133569999999,-111.566626090000000
10,HWR 1.1 OUTTST,4605751.076000000350177,452778.028999999980442,1673.721000000000004,2022,41.602075960000001,-111.566686200000007
11,CID270 BASE,4630691.029000000096858,452186.655000000027940,1795.056000000000040,2022,41.826666539999998,-111.575783759999993
12,CID051 BASE,4631230.953999999910593,451786.711000000010245,1775.941000000000031,2022,41.831505120000003,-111.580643620000004
14,CID018 BASE,4648033.648000000044703,456644.303000000014435,2181.601999999999862,2022,41.983118370000000,-111.523380810000006
15,UID87425 IN,4648032.080000000074506,456631.582999999984168,2180.806999999999789,2022,41.983103540000002,-111.523534240000004
16,UID87425 OT,4648024.753999999724329,456632.715000000025611,2180.556000000000040,2022,41.983037629999998,-111.523520030000000
20,CID306 BASE,4627983.713999999687076,461036.610999999975320,2222.503999999999905,2022,41.802767439999997,-111.469037799999995
21,UID35871 IN,4627991.084999999962747,461033.690999999991618,2220.860000000000127,2022,41.802833679999999,-111.469073429999995
22,UID35871 OT,4627989.813000000081956,461047.667000000015832,2220.300000000000182,2022,41.802822910000003,-111.468905109999994
23,CID315 BASE,4645336.213999999687076,455360.237000000022817,2086.164999999999964,2022,41.958752709999999,-111.538676060000000
24,CID315 TEST,4645336.138000000268221,455360.422000000020489,2087.820999999999913,2022,41.958752040000000,-111.538673820000000
25,UID398 IN,4645344.220999999903142,455400.115999999979977,2087.996999999999844,2022,41.958827079999999,-111.538195470000005
26,UID398 OT,4645355.858000000007451,455390.930999999982305,2087.501000000000204,2022,41.958931370000002,-111.538307180000004
27,CID270 BASE2,4630686.949000000022352,452186.020000000018626,1794.722999999999956,2022,41.826629750000002,-111.575791080000002
28,UID35535 IN,4630685.639999999664724,452194.086000000010245,1793.150000000000091,2022,41.826618449999998,-111.575693849999993
29,UID35535 OT,4630693.123999999836087,452200.697999999974854,1793.019999999999982,2022,41.826686250000002,-111.575614830000006
